Larva,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,0-2,10-2,20-2,30-2,40-2,50-2,60-2,70-2,80-2,90-2,100-2,110-2,120-2,130-2,140-2,150-2,160-2,170-2,180-2,0-3,10-3,20-3,30-3,40-3,50-3,60-3,70-3,80-3,90-3,100-3,110-3,120-3,130-3,140-3,150-3,160-3,170-3,180-3
34,C11,D2,D2,D2,D2,D2,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,G3,G3,A11,A8,A8,A8,A8,P6,P6,P6,P6,O6,O6,C3,C3,C3,C3,C3,C3,L7,N14,N13,F2,B5,P10,A8,H1,O12,O12,O12,K2,K2,C3,O13,D3,D3,D14,G16
35,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,L2,B5,B5,B5,B5,B5,P7,L15,L15,L15,L15,L15,M2,M2,M2,A8,O12,O12,O12,L2,E14,O12,L15,P8,O6,M2,M2,M2,M2,E2,B11,B11,H16,H16,P9,L2,L2,B5
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,I16,J16,J16,J16,J16,J16,J16,J16,J16,J16,J16,J16,J16,J16,J16,J16,J16,J16,J16,P6,G5,M14,E12,M15,M6,L1,F8,A8,H13,I15,J14,J15,K15,M14,J13,J9,H1,H14,A9,B8,A10,B7,B8,A9,A9,A9,A9,A9,A9,A9,A9,A9,A9,A9,A11,B7,A8
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,O10,M6,M6,M5,M5,M5,M5,M4,M4,N4,N4,N4,N4,N4,N4,N4,N4,N4,N4,E2,D14,E2,G1,O5,M2,N13,M2,M2,M2,M2,C14,G16,G16,G16,G16,G16,P8,J1,N13,K15,P10,B4,G11,F15,A6,O12,C13,G1,A7,A8,A8,A8,A8,A8,A8,A8,A8
41,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,I1,J4,B5,K9,K2,B12,J3,A8,B3,A6,G16,A10,F1,P6,L5,L2,A8,A8,O12,E15,A7,E2,F2,G1,H1,C4,I16,O11,O4,B11,D2,L15,C3,I1,A10,I16,L2,P7
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,C8,C9,C9,F10,G10,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,H9,O12,L4,G15,B4,B4,B5,A9,E15,O12,G1,N14,H16,I16,M14,M14,M14,G1,G1,G1,P7,M14,G16,B12,L2,P8,F16,E2,K15,B5,C7,A9,B13,C13,B12,C14,B7,B7,A9
44,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,D14,D14,D14,D14,D14,D14,D14,D14,D14,J6,B4,F10,F7,F15,E15,P7,K12,O12,E15,K1,O8,N14,K15,K15,K15,K15,H16,O12,H1,O8,P9,O5,O5,K15,M14,D14,K15,L15,M3,N13,N3,F16,O8,J13,E15,B4,H16
45,P8,P10,P10,P10,P10,P10,P10,P10,O5,M4,M4,M4,M4,M4,M3,M3,M3,H2,H3,N14,D14,G16,C13,P10,C13,J16,D14,P10,H16,O12,A9,C13,H16,H16,H16,H16,H16,H16,C14,J2,B6,A8,D14,A10,O13,D2,M14,D14,D14,P7,E2,A9,F15,B6,C13,C13,C13
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,N4,O6,O6,O6,O6,O6,O6,O6,O6,O6,O6,O6,O6,O6,O6,O6,O6,O6,O6,J1,F12,G7,P7,K2,C3,O6,L2,L2,L2,L2,L2,L2,L2,L2,L2,L2,L2,L2,J16,E2,L2,A7,F16,C4,L2,A10,A10,C13,D14,F15,E15,D15,A8,E15,N3,B11,B11
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,N4,N3,N3,N3,N3,N3,N3,N3,N3,N3,N3,N3,N3,N3,N3,N3,N3,N3,N3,M12,F2,K14,D3,O12,H16,E15,E15,E15,M14,M14,M14,P9,O9,P9,J1,C4,A8,F15,N4,E4,M4,J2,M15,M11,H1,E2,J16,J16,L15,C13,F2,M13,C4,D3,P3,D3,A8
50,B13,B13,B13,B13,B12,F16,F16,F16,F16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,F1,K15,N4,M10,C4,J16,J16,J16,J16,K15,O4,K16,K16,K16,K16,K15,K15,K15,K15,G4,M2,M2,M2,P6,P6,N4,N4,N4,L2,G1,F1,C4,C4,C4,C4,A6,A6,C4
51,H11,H11,H11,H11,H11,H11,H11,H11,H11,H11,H11,H11,H11,H11,H11,I11,I11,I11,I11,N5,E2,O13,C5,I16,I16,A7,J16,J16,J16,J16,J16,J16,J16,J16,J16,J16,B12,K15,I3,F8,A10,P9,J1,N6,N5,H3,O11,G1,G1,N3,B5,B5,B5,B5,E2,P6,P6
52,K5,K5,K5,K5,K5,K5,K5,K5,K5,K5,K5,K5,K5,K5,K5,K5,K5,K5,K5,K5,H12,P7,J9,A7,H16,H16,N13,O13,P8,L2,O5,E9,F15,H16,I16,I16,K15,N13,P9,F16,A6,F15,N13,P6,D2,D14,C15,E15,D15,M14,D15,F14,F14,D11,C9,B10,D14
53,H3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,F3,F3,I2,I1,I1,J1,J1,J1,O6,P10,M4,B8,P6,G1,O12,G3,P10,N14,O13,J16,A10,A6,C15,J16,D14,N3,L15,G2,G1,L15,B6,B6,J5,P10,A9,H16,B6,H2,J1,D3,C3,C13,C14,C13,N3,E2
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
